Sr_No,Code,Beneficiary_Bank,Total_Txns,CB_Ratio_Pct,CB_Received,Representment_Raised,CB_Accepted
539,SDH,Shree Dharati Co-Operative Bank Ltd,14475,0.0000,0,0,0
540,SMO,Shree Mahesh Co-Operative Bank Ltd,14435,0.0000,0,0,0
541,BHY,The Bhagyodaya Co-Operative Bank Ltd,14433,0.0000,0,0,0
542,GAN,THE GANDHIDHAM CO OPERATIVE BANK LTD,14284,0.0000,0,0,0
543,WNS,Wana Nagrik Sahakari Bank Ltd,14196,0.0000,0,0,0
544,PNC,Punjab National Bank Credit Card,14116,0.0710,10,10,0
545,AMO,The Anand Mercantile Co-Op Bank Ltd,14070,0.0000,0,0,0
546,ASX,The Agrasen Nagari Sahakari Bank Ltd,13993,0.0000,0,0,0
547,DEU,DEUTSCHE BANK,13816,0.0070,1,0,1
548,MEH,The Mehsana Nagarik Sahakari Bank Ltd,13356,0.0000,0,0,0
549,BUN,SHREE BALAJI URBAN CO OPERATIVE BANK LTD,13345,0.0070,1,0,1
550,NRD,THE NARODA NAGRIK CO OPERATIVE BANK LTD,13272,0.0000,0,0,0
551,NMV,Nagarik Sahakari Bank Maryadit,12996,0.0000,0,0,0
552,ISB,Indraprastha Sehkari Bank Ltd,12970,0.0000,0,0,0
553,SHG,SHRI CHATRAPATI SHIVAJI MAHARAJ SAHAKARI BANK NIYAMITH,12908,0.0000,0,0,0
554,SUS,Sadalga Urban Souharda Sahakari Bank Niyamit,12844,0.0000,0,0,0
555,KPL,THE KOPARGAON PEOPLES CO-OP BANK LTD,12384,0.0000,0,0,0
556,SNV,SARAKARI NAUKARARA SAHAKARI BANK NIYAMAT VIJAYAPUR,12182,0.0000,0,0,0
557,GMC,THE GANDHIDHAM MERCANTILE CO-OPERATIVE BANK LTD,11983,0.0000,0,0,0
558,KGG,Baroda UP Bank Erstwhile Kashi Gomti Samyut Gramin Bank,11531,0.0000,0,0,0
559,CBC,Canara Bank Credit Card,11520,0.0000,0,0,0
560,KHT,The Khattri Cooperative Urban Bank Limited,11155,0.0000,0,0,0
561,CHS,The Chitnavispura Sahakari Bank Ltd,10791,0.0000,0,0,0
562,HDD,HDD,10711,0.0000,0,0,0
563,SGC,Sri Gokarnanath Co-Operative Bank Ltd,10702,0.0000,0,0,0
564,VCB,The Vaish Co operative New Bank Ltd,10530,0.0000,0,0,0
565,IPP,ICICI Bank Pockets IPP,10291,0.0000,0,0,0
566,RAC,RAJLAXMI URBAN CO OPERATIVE BANK LTD,10162,0.0000,0,0,0
567,CBL,CSB Bank Limited CBL,10134,0.0000,0,0,0
568,PSC,The Punjab State Cooperative Bank Ltd,9997,0.0000,0,0,0
569,IDA,The Idar Nagrik Sahakari Bank Limited,9718,0.0100,1,1,0
570,HSM,HAVELI SAHAKARI BANK MARYADIT MOSHI,9553,0.0000,0,0,0
571,VMN,Vasundhara Mahila Nagari Sahakari Bank Ltd Ambejogai,9521,0.0110,1,0,1
572,HSL,HSL,9497,0.0000,0,0,0
573,UUL,UMIYA URBAN CO OPERATIVE BANK LTD,9453,0.0000,0,0,0
574,CCB,The Commercial Co-operative Bank Ltd,9419,0.0000,0,0,0
575,AZP,THE AMRAVATI ZILLA PARISHAD SHIKSHAK SAHAKARI BANK,9403,0.0000,0,0,0
576,SMN,SHREE MAHUVA NAGRIK SAHAKARI BANK LTD,9269,0.0000,0,0,0
577,HCD,HDFC Bank Credit Card HCD,9238,0.0000,0,0,0
578,BNL,BALASINOR NAGARIK SAHAKARI BANK LTD,9218,0.0000,0,0,0
579,SSN,Sardar Singh Nagrik Sahkari Bank Maryadit,9027,0.0000,0,0,0
580,BRB,BRAMHAPURI URBAN CO OPERATIVE BANK LTD,8999,0.0000,0,0,0
581,GCL,The Goa Urban Co-Operative Bank Ltd,8970,0.0110,1,1,0
582,GCB,The Gandhinagar Urban Coop Bank Ltd,8809,0.0000,0,0,0
